# Rime user dictionary
#@/db_name	custom.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16419
#@/user_id	2a0bc472-4445-4d93-8ddf-986d757ebe5b
a 	啊	c=94 d=1.01937 t=16418
sheng chan 	生产	c=1 d=1 t=7619
sheng dian 	省电	c=1 d=1 t=5225
sheng fen 	省份	c=1 d=1 t=11423
sheng gong si 	省公司	c=3 d=1 t=15316
sheng gong zi 	省工资	c=1 d=1 t=12881
sheng huo 	生活	c=7 d=0.00502178 t=16418
sheng huo fei 	生活费	c=5 d=0.0233585 t=16418
sheng ji 	升级	c=1 d=1 t=5822
sheng ka 	声卡	c=1 d=0.000287295 t=16418
sheng le 	生了	c=1 d=1 t=15521
sheng li 	胜利	c=1 d=1.84582e-05 t=16418
sheng qian 	省钱	c=1 d=1 t=9417
sheng ren 	胜任	c=1 d=0.00123708 t=16418
sheng yu 	剩余	c=2 d=1.39653 t=8196
sheng zhi yi fa 	绳之以法	c=1 d=1 t=5890
shi 	事	c=2 d=1.11418 t=6758
shi 	十	c=0 d=0.1 t=9486
shi 	史	c=2 d=6.59498e-05 t=16418
shi 	室	c=1 d=1 t=13809
shi 	市	c=10 d=0.0284667 t=16418
shi 	式	c=1 d=1 t=10614
shi 	时	c=11 d=0.440222 t=16418
shi 	是	c=185 d=2.22104 t=16418
shi a 	是啊	c=9 d=1.89591 t=15019
shi an zhao 	是按照	c=1 d=1 t=15391
shi ba 	是吧	c=3 d=0.0403566 t=16418
shi bai 	失败	c=2 d=1.11248 t=10028
shi ban 	石板	c=1 d=1 t=15147
shi bu shi 	是不是	c=9 d=0.18452 t=16418
shi cao 	实操	c=1 d=5.18454e-08 t=16418
shi chang 	市场	c=1 d=1 t=7991
shi cheng 	石城	c=2 d=1.01822 t=13183
shi cong 	是从	c=0 d=0.1 t=8929
shi dai 	时代	c=2 d=0.2334 t=16418
shi de 	是的	c=11 d=5.80411e-06 t=16418
shi duo shao 	是多少	c=1 d=6.33241e-08 t=16418
shi er yue 	十二月	c=1 d=0.0623495 t=16418
shi fou 	是否	c=29 d=1.33656 t=16418
shi ge 	是个	c=1 d=2.27205e-08 t=16418
shi gong 	施工	c=52 d=2.22516 t=16386
shi gong dui 	施工队	c=11 d=2.70851 t=13683
shi gong jian she 	施工建设	c=1 d=1 t=8938
shi gong qing kuang 	施工情况	c=1 d=1 t=7359
shi gong si 	市公司	c=1 d=2.63974e-08 t=16418
shi gong wu fa 	施工无法	c=1 d=1 t=7056
shi gong zhong 	施工中	c=7 d=1.79466 t=16384
shi guo 	试过	c=1 d=1 t=9523
shi hao 	嗜好	c=2 d=2.28677e-09 t=16418
shi he 	适合	c=3 d=0.0157677 t=16418
shi hou 	时候	c=10 d=1.21634 t=16418
shi ji 	世纪	c=6 d=0.0587036 t=16418
shi ji 	十几	c=2 d=9.56486e-07 t=16418
shi ji 	实际	c=6 d=1 t=13504
shi ji shang 	实际上	c=2 d=1.86502 t=15353
shi jia 	史家	c=0 d=0.1 t=13196
shi jia du 	史家渡	c=1 d=1 t=13197
shi jian 	事件	c=3 d=1.05224 t=11600
shi jian 	实践	c=2 d=5.15151e-10 t=16418
shi jian 	时间	c=34 d=0.0479304 t=16418
shi jie 	世界	c=7 d=0.0672216 t=16418
shi kao 	是靠	c=1 d=1 t=5876
shi lou 	十楼	c=1 d=1 t=7528
shi ma 	是吗	c=3 d=1 t=14581
shi pin 	视频	c=3 d=0.0551579 t=16418
shi pin 	食品	c=2 d=5.76488e-05 t=16418
shi ping 	视屏	c=3 d=1.36583e-07 t=16418
shi qi 	时期	c=2 d=0.000200172 t=16418
shi qiao 	石桥	c=1 d=1 t=15088
shi qing 	事情	c=9 d=0.00395608 t=16418
shi qu 	失去	c=1 d=1 t=15084
shi qu 	拾取	c=2 d=1.41066 t=15263
shi ren 	世人	c=2 d=6.76193e-05 t=16418
shi san 	十三	c=1 d=1 t=11364
shi seng 	是僧	c=1 d=1 t=14263
shi shang 	史上	c=1 d=3.88812e-05 t=16418
shi shen me 	是什么	c=2 d=1.43605 t=10553
shi shi 	试试	c=3 d=0.778801 t=16418
shi su 	食宿	c=1 d=0.161218 t=16418
shi tang 	食堂	c=2 d=1.30095e-07 t=16418
shi tou 	石头	c=3 d=0.143873 t=16418
shi tu 	视图	c=1 d=1 t=7097
shi tu 	试图	c=2 d=1 t=15357
shi wo 	是我	c=2 d=0.00158052 t=16418
shi wo guo 	是我国	c=1 d=3.12029e-05 t=16418
shi xi 	实习	c=23 d=0.271538 t=16418
shi xian 	实现	c=2 d=6.66304e-10 t=16418
shi xiang 	事项	c=1 d=1 t=7633
shi xing 	实行	c=1 d=1.33366e-05 t=16418
shi xun 	实训	c=2 d=5.67831e-10 t=16418
shi yan 	实验	c=1 d=7.43242e-10 t=16418
shi yao 	是要	c=1 d=1 t=10590
shi yi 	十一	c=1 d=0.0617291 t=16418
shi ying 	适应	c=2 d=0.0139818 t=16418
shi yong 	使用	c=26 d=0.00533028 t=16418
shi yong 	适用	c=1 d=2.867e-09 t=16418
shi yong 	食用	c=2 d=6.36815e-05 t=16418
shi you 	是有	c=1 d=1 t=7203
shi yu 	始于	c=2 d=6.08793e-05 t=16418
shi yue 	十月	c=1 d=0.0614212 t=16418
shi zai 	实在	c=1 d=0.013912 t=16418
shi zai 	是在	c=3 d=0.000435072 t=16418
shi zhe 	试着	c=1 d=1 t=7166
shi zhe ge 	是这个	c=1 d=1 t=9958
shi zhen 	是真	c=1 d=1 t=6047
shi zhi 	是指	c=3 d=0.667855 t=16418
shi zhong 	始终	c=1 d=0.000210716 t=16418
shi zhong 	时钟	c=3 d=1.95085e-09 t=16418
shi zhun que 	是准确	c=1 d=1 t=9806
shou 	受	c=1 d=0.00051312 t=16418
shou 	寿	c=1 d=1 t=13677
shou 	手	c=2 d=6.52304e-05 t=16418
shou bu liao 	受不了	c=2 d=1.625e-06 t=16418
shou ce 	手册	c=1 d=0.00032882 t=16418
shou dao 	手到	c=1 d=1 t=13659
shou dao 	收到	c=43 d=3.15707 t=16328
shou dong 	手动	c=1 d=0.00213348 t=16418
shou duan 	手段	c=1 d=1 t=12744
shou fei 	收费	c=1 d=3.36445e-09 t=16418
shou gan 	手感	c=1 d=0.00937227 t=16418
shou gong 	手工	c=3 d=1 t=15591
shou hu 	守护	c=1 d=1 t=6841
shou ji 	手机	c=16 d=0.818927 t=16418
shou ji 	收集	c=5 d=1.35193 t=11482
shou ji biao 	手机表	c=1 d=1 t=11133
shou ji hao ma 	手机号码	c=1 d=1 t=13403
shou kai 	首开	c=2 d=6.33639e-05 t=16418
shou kuan 	收款	c=1 d=0.000724521 t=16418
shou ru 	收入	c=8 d=0.00975476 t=16418
shou shi 	手势	c=2 d=4.40732e-09 t=16418
shou yi 	手艺	c=1 d=1 t=4672
shou you 	手游	c=1 d=1 t=9511
shu 	书	c=3 d=2.06661e-08 t=16418
shu 	属	c=2 d=7.45645e-05 t=16418
shu 	戍	c=1 d=1 t=10298
shu 	数	c=21 d=3.59674 t=16222
shu biao 	鼠标	c=3 d=1 t=15533
shu chu 	输出	c=5 d=0.00024614 t=16418
shu chu le 	输出了	c=1 d=4.33049e-08 t=16418
shu fu 	舒服	c=1 d=1 t=6378
shu ji yuan 	书记员	c=1 d=1.40906e-05 t=16418
shu ju 	数据	c=40 d=0.211031 t=16418
shu ju chu li 	数据处理	c=1 d=1 t=13828
shu ju ku 	数据库	c=7 d=0.00187913 t=16418
shu ju lai 	数据来	c=1 d=1 t=15697
shu ju lai yuan 	数据来源	c=1 d=1 t=7634
shu le 	输了	c=1 d=1.02336e-07 t=16418
shu li 	树立	c=2 d=6.66126e-05 t=16418
shu li 	梳理	c=2 d=1.00001 t=9708
shu lian 	熟练	c=1 d=4.05865e-10 t=16418
shu liang 	数量	c=14 d=0.563019 t=16418
shu ma 	数码	c=1 d=1 t=14283
shu mei 	树莓	c=0 d=0.1 t=5942
shu mei pai 	树莓派	c=2 d=1.97531 t=5948
shu mu 	数目	c=1 d=1 t=10973
shu qi 	暑期	c=1 d=3.19265e-10 t=16418
shu ru 	输入	c=10 d=0.00553903 t=16418
shu ru fa 	输入法	c=2 d=2.5428e-09 t=16418
shu shi 	属实	c=1 d=1 t=8242
shu xi 	熟悉	c=3 d=7.74195e-10 t=16418
shu xi qing kuang 	熟悉情况	c=1 d=1 t=9776
shu xing 	属性	c=3 d=0.0122244 t=16418
shu yu 	属于	c=0 d=0.1 t=6568
shu yu shi 	属于是	c=2 d=1 t=9433
shu zhi 	数值	c=8 d=1.47281 t=16305
shu zhi biao 	数值表	c=1 d=1 t=16306
shu zi 	数字	c=23 d=1.30801 t=16401
shu zi xiang cun 	数字乡村	c=3 d=1.00014 t=16138
shua 	刷	c=3 d=0.0507928 t=16418
shua ji 	刷机	c=2 d=0.822835 t=16418
shua le 	刷了	c=1 d=3.6084e-09 t=16418
shua lian 	刷脸	c=2 d=0.143392 t=16418
shua ru 	刷如	c=1 d=1 t=5180
shua shua 	刷刷	c=1 d=3.51871e-07 t=16418
shuai 	帅	c=0 d=3.15272e-10 t=16418
shuang 	双	c=2 d=1 t=9107
shuang cheng 	双城	c=1 d=5.10735e-08 t=16418
shuang ji 	双击	c=3 d=1.00006 t=12496
shuang quan 	双泉	c=1 d=1 t=13224
shuang shi 	双十	c=0 d=1.05471e-10 t=16418
shuang shi yi 	双十一	c=1 d=1.06e-09 t=16418
shuang xi 	双溪	c=1 d=1 t=8604
shuang you 	双优	c=10 d=1.00001 t=14149
shui 	水	c=2 d=1.00001 t=13742
shui 	睡	c=3 d=0.913931 t=16418
shui ba 	睡吧	c=1 d=1 t=4785
shui jiao 	睡觉	c=2 d=1.00049 t=6305
shui li 	水利	c=1 d=1 t=13743
shui li ju 	水利局	c=1 d=1 t=10091
shui qian 	睡前	c=1 d=1 t=4684
shun feng 	顺风	c=3 d=0.00218069 t=16418
shun jian 	瞬间	c=1 d=0.00308872 t=16418
shun zui 	顺嘴	c=1 d=0.000420107 t=16418
shuo 	说	c=13 d=0.529935 t=16418
shuo de 	说的	c=3 d=0.0125264 t=16418
shuo le 	说了	c=1 d=1 t=5166
shuo m 	说呒	c=1 d=1 t=7453
shuo ming 	说明	c=25 d=0.01764 t=16418
shuo ming yi xia 	说明一下	c=1 d=1 t=16072
shuo shen me 	说什么	c=1 d=1 t=12974
shuo shi 	说是	c=2 d=1.00001 t=16381
shuo shuo 	说说	c=1 d=0.143704 t=16418
si 	四	c=6 d=8.77062e-09 t=16418
si 	思	c=2 d=1 t=9564
si 	死	c=5 d=4.22049e-06 t=16418
si chu 	四处	c=0 d=0.1 t=12254
si chu lou feng 	四处漏风	c=1 d=1 t=12255
si fa 	司法	c=1 d=1.45925e-05 t=16418
si fang 	私房	c=1 d=1 t=14405
si fen 	四份	c=1 d=1 t=14601
si ge 	四个	c=2 d=1 t=13984
si hu 	似乎	c=10 d=0.61304 t=16418
si le 	死了	c=1 d=3.78297e-06 t=16418
si mian 	四面	c=1 d=1 t=12250
si qi 	四期	c=1 d=1 t=16132
si qi 	死气	c=1 d=0.891366 t=16418
si qi 	私企	c=1 d=8.27381e-07 t=16418
si ren 	私人	c=2 d=1.99005 t=10871
si tiao 	四条	c=1 d=1 t=12303
si wu 	四五	c=2 d=1 t=9354
si yue 	四月	c=9 d=0.584089 t=16418
si yue fen 	四月份	c=5 d=1.59421 t=16394
song 	送	c=0 d=0.1 t=16409
sou 	搜	c=4 d=1.87921e-10 t=16418
sou gou 	搜狗	c=1 d=1 t=5291
sou ni 	搜你	c=1 d=6.42811e-08 t=16418
sou sou 	搜搜	c=1 d=0.00100276 t=16418
sou suo 	搜索	c=10 d=1.44512e-07 t=16418
su du 	速度	c=3 d=0.0335406 t=16418
su lu 	速录	c=3 d=4.30187e-05 t=16418
su she 	宿舍	c=3 d=0.186096 t=16418
su she qu 	宿舍去	c=1 d=0.16696 t=16418
su zhi 	素质	c=1 d=1 t=6223
suan 	算	c=5 d=1.00553e-06 t=16418
suan shang 	算上	c=1 d=1 t=6487
sui bian 	随便	c=0 d=0.1 t=6728
sui bian kan kan 	随便看看	c=1 d=1 t=6729
sui pian 	碎片	c=4 d=0.0431222 t=16418
sui ran 	虽然	c=3 d=0.000876985 t=16418
sui xin suo yu 	随薪锁欲	c=2 d=0.000757884 t=16418
sui zhe 	随着	c=0 d=0.1 t=10044
sui zhe ji jie 	随着季节	c=1 d=1 t=10045
sun 	孙	c=3 d=2.85086 t=15805
suo 	所	c=3 d=5.54516e-05 t=16418
suo 	索	c=1 d=1.86984e-10 t=16418
suo 	锁	c=2 d=6.57236e-10 t=16418
suo ding 	锁定	c=4 d=0.00553727 t=16418
suo jian 	所见	c=1 d=1 t=15498
suo jian 	缩减	c=1 d=1 t=15358
suo shi yong 	所使用	c=1 d=3.56388e-10 t=16418
suo sou 	索搜	c=-1 d=0 t=16418
suo wen 	所闻	c=1 d=1 t=15499
suo xu 	所需	c=2 d=0.839457 t=16418
suo yi 	所以	c=6 d=0.218712 t=16418
suo yi bu zhi dao 	所以不知道	c=1 d=1 t=10400
suo yi ran 	所以然	c=1 d=1.74734e-07 t=16418
suo yi wo 	所以我	c=1 d=1 t=12891
suo yin 	索引	c=2 d=1.97045 t=8264
suo you 	所有	c=5 d=0.000880952 t=16418
suo you ren 	所有人	c=1 d=1 t=14919
suo zai 	所在	c=10 d=9.00919e-07 t=16418
suo zhan 	所占	c=1 d=1.11993e-09 t=16418
t xu 	T恤	c=1 d=1 t=11512
ta 	他	c=13 d=0.000866961 t=16418
ta 	塔	c=2 d=9.51877e-09 t=16418
ta 	她	c=1 d=1 t=9795
ta de 	他的	c=2 d=0.0095616 t=16418
ta he 	他和	c=1 d=1 t=5846
ta men 	他们	c=4 d=0.426815 t=16418
ta shuo 	他说	c=2 d=4.05658e-05 t=16418
ta shuo ta 	他说他	c=1 d=0.000407691 t=16418
ta ye 	他也	c=1 d=1 t=14182
tai 	台	c=3 d=1.00009 t=8093
tai 	太	c=9 d=0.0435802 t=16418
tai cai 	太菜	c=1 d=1 t=5965
tai di 	太低	c=1 d=1 t=5759
tai duan 	太短	c=1 d=1 t=4679
tai duo 	太多	c=2 d=2.82383e-07 t=16418
tai fan 	太烦	c=1 d=1.97046e-09 t=16418
tai gui 	太贵	c=0 d=0.000477195 t=16418
tai gui le 	太贵了	c=1 d=0.00479587 t=16418
tai jian nan 	太艰难	c=1 d=0.00375375 t=16418
tai kuang 	太狂	c=1 d=0.29523 t=16418
tai pian yi 	太便宜	c=1 d=1 t=5932
tai shao 	太少	c=2 d=0.0149208 t=16418
tai shi 	台式	c=2 d=1.97045 t=9606
tai shi ji 	台式机	c=2 d=1.96079 t=6290
tai shu 	台数	c=2 d=1.99501 t=8328
tai xiao 	太小	c=1 d=1 t=8032
tai yang 	太阳	c=1 d=1 t=10054
tai zhang 	台帐	c=19 d=1.27444 t=16114
tan 	叹	c=1 d=1.58542e-10 t=16418
tan 	潭	c=1 d=1 t=15114
tan 	谈	c=2 d=0.000706632 t=16418
tan 	谭	c=2 d=1.08458 t=15113
tan chuang 	弹窗	c=1 d=1 t=14068
tan li 	弹力	c=2 d=1.99005 t=5143
tang 	唐	c=1 d=1 t=11865
tang 	汤	c=1 d=1.60938e-10 t=16418
tang 	趟	c=1 d=1 t=5896
tang mu 	汤姆	c=1 d=0.351692 t=16418
tang ping 	躺平	c=3 d=0.599052 t=16418
tang song 	唐宋	c=2 d=0.000199173 t=16418
tang xin 	唐欣	c=14 d=1.00029 t=16206
tao 	涛	c=6 d=1.00019 t=12341
tao bao 	淘宝	c=4 d=1.01689 t=12523
tao can 	套餐	c=1 d=1 t=5836
tao jian 	套件	c=1 d=1 t=5255
tao shi 	讨是	c=1 d=0.000243596 t=16418
tao xi 	桃溪	c=1 d=1 t=14615
tao xian 	套现	c=2 d=0.0330435 t=16418
tao zhuang 	套装	c=1 d=0.0547488 t=16418
te bie 	特别	c=1 d=9.73454e-08 t=16418
te dian 	特点	c=1 d=0.000185029 t=16418
te kuai 	特快	c=1 d=1 t=6372
te shu 	特殊	c=1 d=1.40614e-10 t=16418
te xun 	特训	c=4 d=0.0142878 t=16418
teng 	疼	c=1 d=1.60884e-06 t=16418
teng xun 	腾讯	c=9 d=0.277568 t=16418
ti 	提	c=1 d=1 t=7365
ti 	替	c=1 d=2.29449e-06 t=16418
ti 	题	c=1 d=4.90236e-09 t=16418
ti ba 	提拔	c=1 d=1 t=6463
ti chu 	提出	c=4 d=2.07068 t=13481
ti chu de 	提出的	c=1 d=1 t=13462
ti chu lai 	提出来	c=1 d=1 t=7351
ti dai 	替代	c=1 d=9.37706e-09 t=16418
ti gong 	提供	c=9 d=1.07287 t=14896
ti jiao 	提交	c=10 d=0.063609 t=16418
ti ku 	题库	c=1 d=4.45161e-09 t=16418
ti neng 	体能	c=1 d=1.63362e-05 t=16418
ti po 	体魄	c=4 d=3.76041 t=4665
ti qi 	提起	c=3 d=1.96561 t=14958
ti qian 	提前	c=2 d=5.09416e-07 t=16418
ti qu 	提取	c=1 d=1 t=8535
ti sheng 	提升	c=2 d=1 t=9294
ti shi 	提示	c=3 d=3.80213e-06 t=16418
ti shi fu 	提示符	c=1 d=2.71967e-06 t=16418
ti ti 	提提	c=1 d=1 t=7283
ti yan 	体验	c=1 d=0.0101529 t=16418
ti yao 	提要	c=1 d=1 t=5234
ti yu 	体育	c=1 d=1 t=4654
tian 	填	c=4 d=1 t=14508
tian 	天	c=3 d=1 t=12793
tian jia 	天价	c=1 d=1 t=6191
tian jia 	添加	c=13 d=0.00769941 t=16418
tian keng 	填坑	c=4 d=1.00337 t=15218
tian mao 	天猫	c=1 d=0.00467746 t=16418
tian qi 	天气	c=2 d=0.00726273 t=16418
tian qing 	天擎	c=1 d=1 t=10161
tian ru 	填入	c=1 d=1 t=7040
tian shang 	天上	c=1 d=7.12134e-07 t=16418
tian tian 	天天	c=2 d=1 t=15217
tian tian 	甜甜	c=1 d=1 t=10693
tian xie 	填写	c=24 d=1 t=16075
tian xie xiang 	填写项	c=1 d=1 t=7426
tian xun 	天迅	c=1 d=1 t=11515
tian yan 	天眼	c=0 d=2.29527e-11 t=16418
tian yan cha 	天眼查	c=1 d=2.30678e-10 t=16418
tian yi 	天翼	c=1 d=1 t=14181
tiao 	条	c=4 d=1.00003 t=14676
tiao 	调	c=0 d=7.03347e-09 t=16418
tiao 	跳	c=2 d=1.28224 t=10932
tiao guo 	跳过	c=1 d=1 t=10672
tiao jian 	条件	c=1 d=1.33388e-07 t=16418
tiao mu 	条目	c=3 d=2.55632 t=8569
tiao qian 	跳纤	c=2 d=1.60819 t=13869
tiao shi 	调试	c=1 d=0.000234501 t=16418
tiao shi qiao 	调试桥	c=2 d=0.000385164 t=16418
tiao wu 	跳舞	c=1 d=1 t=4805
tiao xiu 	调休	c=1 d=1 t=15646
tiao yi xia 	调一下	c=1 d=7.06873e-08 t=16418
tiao zheng 	调整	c=3 d=5.23575e-06 t=16418
tiao zhuan 	跳转	c=3 d=8.98576e-06 t=16418
tie ba 	贴吧	c=1 d=1 t=15637
tie ta 	铁塔	c=1 d=1 t=16227
tie tong 	铁通	c=3 d=0.00245101 t=16418
ting 	亭	c=1 d=1 t=11259
ting 	厅	c=3 d=1.00002 t=8716
ting 	听	c=3 d=1.02043 t=7473
ting 	挺	c=0 d=1.30095e-08 t=16418
ting dian 	停电	c=1 d=0.484325 t=16418
ting dun 	停顿	c=2 d=1.74082 t=7054
ting fang bian 	挺方便	c=1 d=1 t=5979
ting fu he 	挺符合	c=1 d=1 t=12399
ting fu za 	挺复杂	c=1 d=1 t=5595
ting gao 	挺高	c=1 d=1 t=5432
ting gong 	停工	c=1 d=1 t=7807
ting hao 	挺好	c=1 d=1 t=8179
ting kuai 	挺快	c=1 d=3.05164e-08 t=16418
ting mang 	挺忙	c=0 d=0.00880368 t=16418
ting mang de 	挺忙的	c=1 d=0.0884781 t=16418
ting pian yi 	挺便宜	c=2 d=1.30747e-07 t=16418
ting shang qu 	听上去	c=1 d=1 t=6042
ting shuo 	听说	c=1 d=0.00810722 t=16418
ting zhi 	停止	c=1 d=1 t=14835
ting zhi 	停滞	c=1 d=1 t=14836
tong 	同	c=1 d=1 t=15042
tong 	通	c=1 d=1 t=13883
tong bao 	通报	c=1 d=0.261846 t=16418
tong bu 	同步	c=5 d=1.02748e-07 t=16418
tong bu dao 	同步到	c=1 d=1 t=9031
tong bu zhuan fa 	同步转发	c=1 d=1 t=10354
tong cheng 	通城	c=27 d=2.7667 t=15257
tong chou 	统筹	c=1 d=1 t=13918
tong gao 	通告	c=1 d=1 t=14827
tong guo 	通过	c=11 d=0.00059371 t=16418
tong hua 	通话	c=1 d=1 t=5024
tong hun 	通婚	c=2 d=0.000214398 t=16418
tong ji 	统计	c=1 d=1 t=7646
tong le 	痛了	c=1 d=3.3552e-06 t=16418
tong lei 	同类	c=1 d=1 t=6347
tong pei fu 	通配符	c=1 d=9.16609e-06 t=16418
tong shan 	通山	c=31 d=0.0154954 t=16418
tong shan xian 	通山县	c=1 d=1 t=11331
tong shi 	同事	c=2 d=1 t=9830
tong shun 	通顺	c=1 d=0.00214418 t=16418
tong xin 	通信	c=9 d=7.10078e-07 t=16418
tong xue 	同学	c=4 d=7.79199e-07 t=16418
tong xun 	通讯	c=2 d=1 t=8071
tong yi 	同一	c=0 d=0.1 t=6477
tong yi 	统一	c=2 d=1 t=12091
tong yi shi jian 	同一时间	c=1 d=1 t=6478
tong zhi 	通知	c=1 d=0.1 t=15120
tong zhong 	铜钟	c=4 d=1.98396 t=13252
tou 	头	c=3 d=1.28267e-09 t=16418
tou ping 	投屏	c=1 d=1 t=7976
tou shi 	透视	c=19 d=4.87005 t=16154
tou shi biao 	透视表	c=5 d=2.05897 t=16004
tou zi 	投资	c=2 d=1.95123 t=12872
tu 	图	c=3 d=1.01492 t=11186
tu 	土	c=2 d=1.00005 t=15128
tu cao 	吐槽	c=2 d=1.00379 t=6511
tu jing 	途径	c=1 d=1 t=9043
tu ku 	图库	c=1 d=1 t=5264
tu le 	秃了	c=1 d=0.932394 t=16418
tu pian 	图片	c=1 d=1 t=14139
tu ran 	突然	c=2 d=0.0108347 t=16418
tu xian 	凸显	c=1 d=1 t=12231
tu zhi 	图纸	c=18 d=1.0485 t=14732
tuan dui 	团队	c=1 d=1 t=6418
tuan shan 	团山	c=2 d=1.00231 t=15766
tui dan 	退单	c=3 d=2.55118 t=8643
tui fei 	退费	c=1 d=0.00290884 t=16418
tui jian 	推荐	c=1 d=0.000916453 t=16418
tui jin 	推进	c=4 d=1 t=14826
tui song 	推送	c=3 d=1.55002e-09 t=16418
tuo 	拖	c=1 d=1 t=5578
tuo guan 	托管	c=0 d=1.87921e-11 t=16418
tuo le 	拖了	c=1 d=1 t=12310
tuo li 	脱离	c=4 d=0.167006 t=16418
tuo shi jian 	拖时间	c=1 d=1.04404e-07 t=16418
tuo zhan 	拓展	c=1 d=1 t=6739
wa neng qu an 	洼能去按	c=1 d=1 t=10505
wa wa 	娃娃	c=1 d=2.3473e-09 t=16418
wa zi 	袜子	c=0 d=2.01026e-10 t=16418
wai 	外	c=3 d=1 t=14808
wai di 	外地	c=3 d=2.83403e-07 t=16418
wai guo ren 	外国人	c=1 d=1 t=10896
wai jia 	外加	c=1 d=7.5996e-07 t=16418
wai kuang 	外框	c=2 d=1.956 t=9098
wai mian 	外面	c=2 d=1.00638 t=6392
wan 	万	c=8 d=0.00126207 t=16418
wan 	丸	c=1 d=1 t=10416
wan 	晚	c=3 d=1.00003 t=8383
wan 	湾	c=2 d=1 t=13239
wan 	玩	c=9 d=0.191848 t=16418
wan 	碗	c=1 d=2.08187e-09 t=16418
wan bi 	完毕	c=1 d=1 t=15668
wan bu dong 	玩不动	c=1 d=1 t=6156
wan bu wan 	玩不玩	c=1 d=1 t=9574
wan chen 	玩陈	c=1 d=1 t=9885
wan cheng 	完成	c=37 d=0.676644 t=16418
wan dan 	完蛋	c=1 d=2.10752e-06 t=16418
wan dao 	玩到	c=1 d=1 t=5944
wan dian 	晚点	c=3 d=1.00004 t=15415
wan dou 	豌豆	c=1 d=1 t=5116
wan gong 	完工	c=40 d=1.00017 t=16339
wan le 	完了	c=1 d=1 t=5889
wan quan 	完全	c=5 d=0.102686 t=16418
wan shang 	晚上	c=5 d=2.03264 t=9578
wan shou ji 	玩手机	c=2 d=1.00068 t=6145
wan wang 	万网	c=1 d=1 t=11842
wan yi wan 	玩一玩	c=1 d=1 t=6138
wan yi xia 	玩一下	c=1 d=1.12807e-06 t=16418
wan zheng 	完整	c=2 d=1 t=14894
wang 	往	c=1 d=1 t=12625
wang 	忘	c=1 d=1 t=4863
wang 	王	c=12 d=0.176419 t=16418
wang 	网	c=10 d=0.0641631 t=16418
wang chao 	王朝	c=1 d=1 t=11563
wang chao hui 	王朝辉	c=2 d=1 t=14130
wang gao 	王高	c=11 d=1 t=15919
wang ge 	网格	c=4 d=2.95558 t=10017
wang guan 	网管	c=3 d=0.459046 t=16418
wang ji 	忘记	c=1 d=1 t=11398
wang ji 	旺季	c=0 d=1.67883e-08 t=16418
wang ka 	网咖	c=1 d=1 t=14616
wang le 	忘了	c=3 d=2.28935e-09 t=16418
wang luo 	网络	c=25 d=0.251111 t=16418
wang luo bu 	网络部	c=5 d=1 t=14324
wang luo zhi bao 	网络直报	c=1 d=1 t=12818
wang quan 	王权	c=21 d=1.00177 t=15915
wang shang 	网上	c=4 d=1.02816 t=15081
wang xiao 	王小	c=0 d=3.15272e-10 t=16418
wang xiao shuai 	王小帅	c=1 d=3.16852e-09 t=16418
wang ye 	网页	c=4 d=2.02274 t=6847
wang yi 	网易	c=1 d=8.50378e-06 t=16418
wang you liang 	王有亮	c=1 d=1 t=7884
wang zhan 	网站	c=4 d=0.000654961 t=16418
wang zhi 	网址	c=3 d=7.46713e-06 t=16418
wei 	为	c=35 d=0.00791757 t=16418
wei 	伟	c=3 d=1 t=12104
wei 	位	c=3 d=0.00170362 t=16418
wei 	威	c=1 d=1 t=4943
wei 	未	c=19 d=1.00359 t=15782
wei biao zhun 	为标准	c=1 d=1 t=15453
wei bo 	微博	c=1 d=1.07602e-09 t=16418
wei dan wei 	为单位	c=1 d=1 t=13353
wei fu gai 	未覆盖	c=3 d=1.71409 t=8333
wei ge 	伟哥	c=1 d=1 t=7133
wei gong 	围攻	c=1 d=1 t=4766
wei he yan 	未核验	c=1 d=1 t=10914
wei hu 	维护	c=2 d=0.000902809 t=16418
wei hui 	委会	c=1 d=1 t=13223
wei kai tong 	未开通	c=1 d=1 t=8341
wei lai 	未来	c=1 d=1 t=4791
wei liang 	微凉	c=1 d=1 t=6595
wei mi 	萎靡	c=1 d=1 t=4692
wei ruan 	微软	c=1 d=1 t=6823
wei sha 	为啥	c=5 d=0.00192728 t=16418
wei shen me 	为什么	c=5 d=5.51076e-08 t=16418
wei shi gong 	未施工	c=3 d=2.97516 t=7808
wei tang 	煨汤	c=1 d=1.59337e-10 t=16418
wei wu er 	维吾尔	c=2 d=0.000224266 t=16418
wei xian 	危险	c=1 d=1.08511 t=4965
wei xin 	微信	c=8 d=1.99501 t=10365
wei xing 	微型	c=2 d=1.01492 t=5953
wei yi 	唯一	c=1 d=0.00138093 t=16418
wei yu 	位于	c=4 d=1.88311e-05 t=16418
wei yuan 	委员	c=1 d=1.58133e-09 t=16418
wei zhang 	伟章	c=2 d=1.64956e-06 t=16418
wei zhi 	位置	c=14 d=0.99006 t=16418
wei zhi 	未知	c=3 d=0.00795185 t=16418
wei zuo 	未做	c=9 d=1.90187 t=14034
wen 	问	c=5 d=0.000437252 t=16418
wen ben 	文本	c=4 d=0.0323873 t=16418
wen bi 	文笔	c=1 d=1 t=13731
